,idx, mode, snr
0,0,morse,25
1,1,morse,25
2,2,morse,25
3,3,morse,25
4,4,morse,25
5,5,morse,25
6,6,morse,25
7,7,morse,25
8,8,morse,25
9,9,morse,25
10,10,morse,25
11,11,morse,25
12,12,morse,25
13,13,morse,25
14,14,morse,25
15,15,morse,25
16,16,morse,25
17,17,morse,25
18,18,morse,25
19,19,morse,25
20,20,morse,25
21,21,morse,25
22,22,morse,25
23,23,morse,25
24,24,morse,25
25,25,morse,25
26,26,morse,25
27,27,morse,25
28,28,morse,25
29,29,morse,25
30,30,morse,25
31,31,morse,25
32,32,morse,25
33,33,morse,25
34,34,morse,25
35,35,morse,25
36,36,morse,25
37,37,morse,25
38,38,morse,25
39,39,morse,25
40,40,morse,25
41,41,morse,25
42,42,morse,25
43,43,morse,25
44,44,morse,25
45,45,morse,25
46,46,morse,25
47,47,morse,25
48,48,morse,25
49,49,morse,25
50,50,morse,25
51,51,morse,25
52,52,morse,25
53,53,morse,25
54,54,morse,25
55,55,morse,25
56,56,morse,25
57,57,morse,25
58,58,morse,25
59,59,morse,25
60,60,morse,25
61,61,morse,25
62,62,morse,25
63,63,morse,25
64,64,morse,25
65,65,morse,25
66,66,morse,25
67,67,morse,25
68,68,morse,25
69,69,morse,25
70,70,morse,25
71,71,morse,25
72,72,morse,25
73,73,morse,25
74,74,morse,25
75,75,morse,25
76,76,morse,25
77,77,morse,25
78,78,morse,25
79,79,morse,25
80,80,morse,25
81,81,morse,25
82,82,morse,25
83,83,morse,25
84,84,morse,25
85,85,morse,25
86,86,morse,25
87,87,morse,25
88,88,morse,25
89,89,morse,25
90,90,morse,25
91,91,morse,25
92,92,morse,25
93,93,morse,25
94,94,morse,25
95,95,morse,25
96,96,morse,25
97,97,morse,25
98,98,morse,25
99,99,morse,25
100,100,morse,25
101,101,morse,25
102,102,morse,25
103,103,morse,25
104,104,morse,25
105,105,morse,25
106,106,morse,25
107,107,morse,25
108,108,morse,25
109,109,morse,25
110,110,morse,25
111,111,morse,25
112,112,morse,25
113,113,morse,25
114,114,morse,25
115,115,morse,25
116,116,morse,25
117,117,morse,25
118,118,morse,25
119,119,morse,25
120,120,morse,25
121,121,morse,25
122,122,morse,25
123,123,morse,25
124,124,morse,25
125,125,morse,25
126,126,morse,25
127,127,morse,25
128,128,morse,25
129,129,morse,25
130,130,morse,25
131,131,morse,25
132,132,morse,25
133,133,morse,25
134,134,morse,25
135,135,morse,25
136,136,morse,25
137,137,morse,25
138,138,morse,25
139,139,morse,25
140,140,morse,25
141,141,morse,25
142,142,morse,25
143,143,morse,25
144,144,morse,25
145,145,morse,25
146,146,morse,25
147,147,morse,25
148,148,morse,25
149,149,morse,25
150,150,morse,25
151,151,morse,25
152,152,morse,25
153,153,morse,25
154,154,morse,25
155,155,morse,25
156,156,morse,25
157,157,morse,25
158,158,morse,25
159,159,morse,25
160,160,morse,25
161,161,morse,25
162,162,morse,25
163,163,morse,25
164,164,morse,25
165,165,morse,25
166,166,morse,25
167,167,morse,25
168,168,morse,25
169,169,morse,25
